,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,highVarProb,long_exposure,long_value,longs_count,lowVarProb,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2009-01-02 21:00:00+00:00,90.75,,0.0,,0.06326889279437609,,,0.0,100000.0,0.0,0.0,0.0,0.0,0.9962486337303411,0.0,0.0,0,0.003751366269658889,0.0,0.0,0.0,[],2009-01-02 21:00:00+00:00,2009-01,2009-01-02 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,1,[],0.0
2009-01-05 21:00:00+00:00,94.58,0.0,0.0,0.0,0.10814294083186882,0.23645444316202838,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9990502364924927,0.0,0.0,0,0.0009497635075073348,0.0,0.0,0.0,[],2009-01-05 21:00:00+00:00,2009-01,2009-01-05 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,2,[],0.0
2009-01-06 21:00:00+00:00,93.02,0.0,0.0,0.0,0.08986526069127132,0.6561661408546222,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.9411934359635113,0.0,0.0,0,0.05880656403648858,0.0,0.0,0.0,[],2009-01-06 21:00:00+00:00,2009-01,2009-01-06 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,3,[],0.0
2009-01-07 21:00:00+00:00,91.01,0.0,0.0,0.0,0.0663151728178093,0.6727738968151198,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.8415887990985265,0.0,0.0,0,0.1584112009014735,0.0,0.0,0.0,[],2009-01-07 21:00:00+00:00,2009-01,2009-01-07 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,4,[],0.0
2009-01-08 21:00:00+00:00,92.7,0.0,0.0,0.0,0.0861159929701234,0.5827682339613772,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.7902858016648698,0.0,0.0,0,0.2097141983351302,0.0,0.0,0.0,[],2009-01-08 21:00:00+00:00,2009-01,2009-01-08 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,5,[],0.0
2009-01-09 21:00:00+00:00,90.58,0.0,0.0,0.0,0.06127709431751649,0.5823128302634674,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.5991068068073864,0.0,0.0,0,0.4008931931926136,0.0,0.0,0.0,[],2009-01-09 21:00:00+00:00,2009-01,2009-01-09 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,6,[],0.0
2009-01-12 21:00:00+00:00,88.66,0.0,0.0,0.0,0.038781487990627195,0.5645962318583544,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.38058798022776186,0.0,0.0,0,0.6194120197722381,0.0,0.0,0.0,[],2009-01-12 21:00:00+00:00,2009-01,2009-01-12 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,7,[],0.0
2009-01-13 21:00:00+00:00,87.71000000000001,0.0,0.0,0.0,0.027650849443468406,0.5310484165068621,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.17164470217952388,0.0,0.0,0,0.828355297820476,0.0,0.0,0.0,[],2009-01-13 21:00:00+00:00,2009-01,2009-01-13 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,8,[],0.0
2009-01-14 21:00:00+00:00,85.33,0.0,0.0,0.0,-0.00023432923257138416,0.5231830053161569,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.1523980767273043,0.0,0.0,0,0.8476019232726958,0.0,0.0,0.0,[],2009-01-14 21:00:00+00:00,2009-01,2009-01-14 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,9,[],0.0
2009-01-15 21:00:00+00:00,83.38,0.0,0.0,0.0,-0.023081429408318255,0.5069392046948182,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.11607925420474471,0.0,0.0,0,0.8839207457952553,0.0,0.0,0.0,[],2009-01-15 21:00:00+00:00,2009-01,2009-01-15 14:31:00+00:00,0.0,100000.0,[],0.0,,0.0,0.0,0,,100000.0,0.0,0.0,10,[],0.0
