,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2000-01-03 21:00:00+00:00,,,0.0,,0.004122655438125733,,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-03 21:00:00+00:00,2000-01,2000-01-03 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,1,[],0.0
2000-01-04 21:00:00+00:00,,0.0,0.0,,0.008262307164113025,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-04 21:00:00+00:00,2000-01,2000-01-04 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,2,[],0.0
2000-01-05 21:00:00+00:00,,0.0,0.0,,0.012419025247800253,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-05 21:00:00+00:00,2000-01,2000-01-05 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,3,[],0.0
2000-01-06 21:00:00+00:00,,0.0,0.0,,0.01659288004790005,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-06 21:00:00+00:00,2000-01,2000-01-06 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,4,[],0.0
2000-01-07 21:00:00+00:00,,0.0,0.0,,0.020783942213189466,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-07 21:00:00+00:00,2000-01,2000-01-07 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,5,[],0.0
2000-01-10 21:00:00+00:00,,0.0,0.0,,0.024992282683706124,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-10 21:00:00+00:00,2000-01,2000-01-10 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,6,[],0.0
2000-01-11 21:00:00+00:00,,0.0,0.0,,0.029217972691949035,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-11 21:00:00+00:00,2000-01,2000-01-11 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,7,[],0.0
2000-01-12 21:00:00+00:00,,0.0,0.0,,0.0334610837640843,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-12 21:00:00+00:00,2000-01,2000-01-12 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,8,[],0.0
2000-01-13 21:00:00+00:00,,0.0,0.0,,0.037721687721155694,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-13 21:00:00+00:00,2000-01,2000-01-13 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,9,[],0.0
2000-01-14 21:00:00+00:00,,0.0,0.0,,0.041999856680300374,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-14 21:00:00+00:00,2000-01,2000-01-14 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,10,[],0.0
2000-01-18 21:00:00+00:00,,0.0,0.0,,0.04629566305596966,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-18 21:00:00+00:00,2000-01,2000-01-18 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,11,[],0.0
2000-01-19 21:00:00+00:00,,0.0,0.0,,0.05060917956115474,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-19 21:00:00+00:00,2000-01,2000-01-19 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,12,[],0.0
2000-01-20 21:00:00+00:00,,0.0,0.0,,0.05494047920861744,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-20 21:00:00+00:00,2000-01,2000-01-20 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,13,[],0.0
2000-01-21 21:00:00+00:00,,0.0,0.0,,0.05928963531212572,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-21 21:00:00+00:00,2000-01,2000-01-21 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,14,[],0.0
2000-01-24 21:00:00+00:00,,0.0,0.0,,0.06365672148769552,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-24 21:00:00+00:00,2000-01,2000-01-24 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,15,[],0.0
2000-01-25 21:00:00+00:00,,0.0,0.0,,0.0680418116548358,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-25 21:00:00+00:00,2000-01,2000-01-25 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,16,[],0.0
2000-01-26 21:00:00+00:00,,0.0,0.0,,0.0724449800378002,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-26 21:00:00+00:00,2000-01,2000-01-26 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,17,[],0.0
2000-01-27 21:00:00+00:00,,0.0,0.0,,0.07686630116684379,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-27 21:00:00+00:00,2000-01,2000-01-27 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,18,[],0.0
2000-01-28 21:00:00+00:00,,0.0,0.0,,0.08130584987948364,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-28 21:00:00+00:00,2000-01,2000-01-28 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,19,[],0.0
2000-01-31 21:00:00+00:00,,0.0,0.0,,0.08576370132176647,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-01-31 21:00:00+00:00,2000-01,2000-01-31 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,20,[],0.0
2000-02-01 21:00:00+00:00,,0.0,0.0,,0.09023993094954008,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-01 21:00:00+00:00,2000-02,2000-02-01 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,21,[],0.0
2000-02-02 21:00:00+00:00,,0.0,0.0,,0.09473461452973098,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-02 21:00:00+00:00,2000-02,2000-02-02 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,22,[],0.0
2000-02-03 21:00:00+00:00,,0.0,0.0,,0.09924782814162647,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-03 21:00:00+00:00,2000-02,2000-02-03 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,23,[],0.0
2000-02-04 21:00:00+00:00,,0.0,0.0,,0.10377964817816254,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-04 21:00:00+00:00,2000-02,2000-02-04 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,24,[],0.0
2000-02-07 21:00:00+00:00,,0.0,0.0,,0.1083301513472168,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-07 21:00:00+00:00,2000-02,2000-02-07 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,25,[],0.0
2000-02-08 21:00:00+00:00,,0.0,0.0,,0.1128994146729072,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-08 21:00:00+00:00,2000-02,2000-02-08 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,26,[],0.0
2000-02-09 21:00:00+00:00,,0.0,0.0,,0.11748751549689551,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-09 21:00:00+00:00,2000-02,2000-02-09 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,27,[],0.0
2000-02-10 21:00:00+00:00,,0.0,0.0,,0.1220945314796964,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-10 21:00:00+00:00,2000-02,2000-02-10 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,28,[],0.0
2000-02-11 21:00:00+00:00,,0.0,0.0,,0.12672054060199223,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-11 21:00:00+00:00,2000-02,2000-02-11 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,29,[],0.0
2000-02-14 21:00:00+00:00,,0.0,0.0,,0.13136562116595307,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-14 21:00:00+00:00,2000-02,2000-02-14 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,30,[],0.0
2000-02-15 21:00:00+00:00,,0.0,0.0,,0.13602985179656146,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-15 21:00:00+00:00,2000-02,2000-02-15 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,31,[],0.0
2000-02-16 21:00:00+00:00,,0.0,0.0,,0.14071331144294374,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2000-02-16 21:00:00+00:00,2000-02,2000-02-16 14:31:00+00:00,0.0,10000.0,[],0.0,,0.0,,0.0,0,,10000.0,0.0,0.0,32,[],0.0
